Rank 2024,Rank 2023,Programming Language,Ratings,Ratings Change,Rank Change
1,1,Python,0.2017,0.0601,-
2,3,C++,0.1075,0.0009,v
3,4,Java,0.0945,-0.0004,v
4,2,C,0.0889,-0.0238,^^
5,5,C#,0.0608,-0.0122,-
6,6,JavaScript,0.0392,0.0062,-
7,7,Visual Basic,0.027,0.0048,-
8,12,Go,0.0235,0.0116,vv
9,10,SQL,0.0194,0.005,v
10,11,Fortran,0.0178,0.0049,v
11,15,Delphi/Object Pascal,0.0177,0.0075,vv
12,13,MATLAB,0.0147,0.0028,v
13,8,PHP,0.0146,-0.0009,^^
14,17,Rust,0.0132,0.0035,vv
15,18,R,0.012,0.0023,vv
16,19,Ruby,0.0113,0.0018,vv
17,14,Scratch,0.0111,0.0003,^^
18,20,Kotlin,0.011,0.002,vv
19,21,COBOL,0.0109,0.0022,vv
20,16,Swift,0.0108,0.0009,^^
